objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_011,objects/dante desire 2.png,,,Tranquil Desire 2,Dante Enage,2025,Locally,Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_012,objects/dante bloom 3.png,,,Inner Bloom 2,Dante Enage,2024–2025,Locally,Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_013,objects/dante alter ego.png,,,Alter Ego,Dante Enage,2025,Locally,Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_014,objects/DANTE REBIRTH 5.png,,,Rebirth,Dante Enage,2024,Locally,Painting,Leyte,,,,,Image;StillImage,image/jpeg,Waray,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_015,objects/charlie co.1.jpg,,,Journey of The Cross Galleon,Charlie Co,2021,Locally,Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_016,objects/charlie co. 2.jpg,,,Moment Captured,Charlie Co,2022,Locally,Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_017,objects/charlie co. 3.jpg,,,Contemplation,Charlie Co,2023,Locally,Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_018,objects/charlie co. 4.jpg,,,Re-inventing Greed and Power,Charlie Co,2009,Locally,Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_019,objects/charlie co. 5.jpg,,,Skull,Charlie Co,2024-2025,Locally,Painting,Negros,,,,,Image;StillImage,image/jpeg,Hiligaynon,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_020,objects/Victorio Edades1.png,,,The Ketch,Victorio Edades,1927,Locally,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_021,objects/victorio2.webp,,,Poinsettia Girl,Victorio Edades,1976,Locally,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_022,objects/victorio3.jpg,,,Mother and Daughter,Victorio Edades,1928,Locally,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_023,objects/victorio4.jpg,,,The Builders,Victorio Edades,1928,Locally,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_024,objects/victorio5.jfif,,,The Wrestlers,Victorio Edades,1927,Locally,Painting,Pangasinan,,,,,Image;StillImage,image/jpeg,Ilocano,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_025,,,,,,,,,,,,,,,,,In Copyright - Educational Use Permitted. ,https://creativecommons.org/publicdomain/mark/1.0/
demo_026,,,,,,,,,,,,,,,,,,
